Disease	cervical cancer	Rank_cervical cancer
HG02281	5.5135	0.8075
HG02282	4.6725	0.6122
HG02283	3.9598	0.5036
HG02284	2.9586	0.4022
HG02285	5.5135	0.8075
HG02286	5.5135	0.8075
HG02291	3.9598	0.5036
HG02292	4.6725	0.6122
HG02298	3.9598	0.5036
HG02299	3.9598	0.5036
HG02301	3.9598	0.5036
HG02304	4.9893	0.7772
HG02307	3.9598	0.5036
HG02308	4.6725	0.6122
HG02309	6.9469	0.9609
HG02312	1.9899	0.1801
HG02314	4.6725	0.6122
HG02315	3.9598	0.5036
HG02317	5.5135	0.8075
HG02318	4.6725	0.6122
HG02322	4.6725	0.6122
HG02323	4.6725	0.6122
HG02325	4.6725	0.6122
HG02330	4.6725	0.6122
HG02332	5.5135	0.8075
HG02334	5.5135	0.8075
HG02337	4.6725	0.6122
HG02339	4.6725	0.6122
HG02343	4.6725	0.6122
HG02345	3.9598	0.5036
HG02348	2.3481	0.2704
HG02351	2.3481	0.2704
HG02353	0.885	0.0176
HG02355	2.3481	0.2704
HG02356	1.9899	0.1801
HG02360	1.761	0.155
HG02364	1	0.0308
HG02367	1.9899	0.1801
HG02371	3.1012	0.4585
HG02373	1.761	0.155
HG02374	1.9899	0.1801
HG02375	0.5625	4.00E-04
HG02379	1.761	0.155
HG02380	3.1012	0.4585
HG02382	0.75	0.0076
HG02383	2.9698	0.4429
HG02384	1.761	0.155
HG02385	2.7707	0.3726
HG02386	1.18	0.0647
HG02389	2.3481	0.2704
HG02390	3.5043	0.4808
HG02391	1	0.0308
HG02392	1.4924	0.1294
HG02394	3.5043	0.4808
HG02395	1.3924	0.1074
HG02396	1.761	0.155
HG02397	1.18	0.0647
HG02398	2.9698	0.4429
HG02399	0.885	0.0176
HG02401	1.9899	0.1801
HG02402	6.9469	0.9609
HG02406	1.4924	0.1294
HG02407	1.9899	0.1801
HG02408	1.3208	0.101
HG02409	0.885	0.0176
HG02410	0.75	0.0076
HG02419	4.6725	0.6122
HG02420	2.7707	0.3726
HG02425	2.7707	0.3726
HG02427	3.9598	0.5036
HG02429	6.9469	0.9609
HG02433	4.6725	0.6122
HG02439	4.6725	0.6122
HG02442	4.6725	0.6122
